,Date,Month,Day,Time,Escooter Trip Distance Total (km),Escooter Trip Duration Total(mins),Escooter Total Trips,Temperature_F,Humidity%,Wind_Speed_kn,Precipitation (mm),Total Traffic Incidents,Number of Bus Trips,Number of Rail Trips,Taxi Trip Distance (km),Taxi Total Trips
0,2020-08-12,August,Wednesday,05:00:00,4.058,31.05,4,71.1,65.58,0.5,0.0,3.0,313739,146680,248.21,27
1,2020-08-12,August,Wednesday,07:00:00,14.762,71.8167,9,68.0,75.84,0.5833333333333334,0.0,9.0,313739,146680,597.01,87
2,2020-08-12,August,Wednesday,08:00:00,47.882,342.5667,16,66.9,78.77,0.0,0.0,38.0,313739,146680,1342.92,217
3,2020-08-12,August,Wednesday,09:00:00,99.651,687.95,35,66.9,78.77,0.0,0.0,19.0,313739,146680,1009.01,195
4,2020-08-12,August,Wednesday,10:00:00,191.26,1079.55,71,64.9,81.19,0.0,0.0,31.0,313739,146680,4080.83,397
5,2020-08-12,August,Wednesday,11:00:00,397.695,2962.3833,152,63.0,83.42,1.75,0.0,25.0,313739,146680,1543.48,276
6,2020-08-12,August,Wednesday,12:00:00,639.843,4420.2,183,66.0,81.27,0.9285714285714286,0.0,32.0,313739,146680,2344.79,455
7,2020-08-12,August,Wednesday,13:00:00,594.427,3954.4833,204,72.0,59.2,0.18181818181818182,0.0,35.0,313739,146680,1813.86,277
8,2020-08-12,August,Wednesday,14:00:00,667.587,4648.3833,202,75.9,41.86,5.285714285714286,0.0,33.0,313739,146680,3215.95,514
9,2020-08-12,August,Wednesday,15:00:00,984.45,6697.1167,268,78.1,41.89,7.833333333333333,0.0,35.0,313739,146680,1628.06,279
10,2020-08-12,August,Wednesday,16:00:00,1260.943,7714.0667,304,79.0,40.67,9.714285714285714,0.0,49.0,313739,146680,2366.2,443
11,2020-08-12,August,Wednesday,17:00:00,1399.263,9272.2667,399,80.1,37.67,7.833333333333333,0.0,72.0,313739,146680,1847.22,306
12,2020-08-12,August,Wednesday,18:00:00,1677.847,10334.85,508,81.0,40.83,8.071428571428571,0.0,35.0,313739,146680,2729.63,431
13,2020-08-12,August,Wednesday,19:00:00,1922.562,13123.5167,571,82.9,39.66,7.666666666666667,0.0,23.0,313739,146680,1412.1,194
14,2020-08-12,August,Wednesday,20:00:00,1557.733,10682.8667,500,82.0,42.49,7.5,0.0,19.0,313739,146680,1464.45,234
15,2020-08-12,August,Wednesday,21:00:00,1219.041,8796.8167,388,82.0,43.89,7.166666666666667,0.0,32.0,313739,146680,924.61,126
16,2020-08-12,August,Wednesday,22:00:00,13.305,129.9167,2,82.9,46.12,7.714285714285714,0.0,25.0,313739,146680,1034.86,167
17,2020-08-13,August,Thursday,05:00:00,33.388,247.4667,17,73.9,76.36,5.666666666666667,0.0,3.0,313917,150941,149.74,29
18,2020-08-13,August,Thursday,06:00:00,200.843,1357.1,38,73.0,81.2,5.0,0.0,9.0,313917,150941,574.34,77
